1403636580413555456,-0.01632,0.00815,-0.21970,-0.04041,0.83359,0.02732,0.55023,-0.04845,0.01219,-0.28032,
1403636580463555584,-0.01847,0.00887,-0.23163,-0.04029,0.83807,0.02782,0.54336,-0.04074,0.01526,-0.19377,
1403636580513555456,-0.02006,0.00961,-0.23880,-0.03989,0.84238,0.02801,0.53668,-0.02621,0.01464,-0.06092,
1403636580563555584,-0.02110,0.01024,-0.23903,-0.04124,0.84554,0.02769,0.53160,-0.01798,0.00826,0.10974,
1403636580613555456,-0.02150,0.01075,-0.22993,-0.04270,0.84655,0.02782,0.52986,-0.00341,0.00865,0.29010,
1403636580663555328,-0.02128,0.01125,-0.21256,-0.04278,0.84552,0.02774,0.53151,0.01026,0.00964,0.43915,
1403636580713555456,-0.02036,0.01161,-0.18889,-0.04062,0.84305,0.02826,0.53555,0.02344,-0.00128,0.56026,
1403636580763555584,-0.01870,0.01155,-0.15947,-0.03701,0.83982,0.02913,0.54082,0.04109,-0.00822,0.66136,
1403636580813555456,-0.01671,0.01156,-0.12524,-0.03222,0.83599,0.02931,0.54701,0.03357,-0.00478,0.72509,
1403636580863555328,-0.01474,0.01167,-0.08771,-0.02625,0.83162,0.02883,0.55397,0.03550,-0.00477,0.76619,
1403636580913555456,-0.01300,0.01207,-0.04930,-0.02000,0.82712,0.02838,0.56095,0.01995,0.01486,0.75523,
1403636580963555584,-0.01183,0.01327,-0.01120,-0.01734,0.82258,0.02851,0.56767,0.00279,0.02128,0.72749,
1403636581013555456,-0.01136,0.01432,0.02485,-0.01680,0.81836,0.02940,0.57370,-0.00867,0.02576,0.67355,
1403636581063555584,-0.01129,0.01531,0.05864,-0.01824,0.81434,0.02928,0.57937,-0.01916,0.00878,0.63760,
1403636581113555456,-0.01162,0.01533,0.09017,-0.01876,0.81033,0.02819,0.58500,-0.02257,0.00105,0.58503,
1403636581163555328,-0.01199,0.01491,0.11924,-0.02044,0.80566,0.02532,0.59149,-0.04403,-0.01592,0.53001,
1403636581213555456,-0.01321,0.01336,0.14519,-0.02163,0.80086,0.02341,0.59801,-0.05771,-0.02421,0.46107,
1403636581263555584,-0.01504,0.01131,0.16766,-0.02380,0.79556,0.02137,0.60503,-0.08668,-0.03122,0.38660,
1403636581313555456,-0.01811,0.00884,0.18472,-0.02428,0.79088,0.02225,0.61108,-0.10930,-0.03055,0.24699,
1403636581363555328,-0.02181,0.00652,0.19371,-0.02438,0.78758,0.02199,0.61534,-0.11204,-0.03938,0.08034,
1403636581413555456,-0.02669,0.00454,0.19354,-0.02119,0.78680,0.02257,0.61643,-0.12131,-0.04832,-0.10209,
1403636581463555584,-0.02941,0.00225,0.18307,-0.01857,0.78846,0.02424,0.61432,-0.11364,-0.04980,-0.28327,
1403636581513555456,-0.03358,0.00004,0.16406,-0.01596,0.79174,0.02575,0.61010,-0.11216,-0.04948,-0.43185,
1403636581563555584,-0.03663,-0.00174,0.13733,-0.01595,0.79575,0.02445,0.60492,-0.10111,-0.03794,-0.56238,
